399006 | 创业板指 | 4234.15 | +1.61% | 67.10
180688 | 科创50 | 1869.55 | +1.56% | 28.73
399330 | 深证100 | 6925.07 | +1.20% | 80.07
399601 | 深证成指 | 16021.38 | +0.88% | 140.43
399030 | 沪深300 | 4958.31 | +0.54% | 26.82
1A0001 | 上证指数 | 4108.18 | +0.00% | 0.10
DJI | 道琼斯工业平均指数 | 51492.550 | -0.98% | -507.120
SPX | 标准普尔500指数 | 7420.100 | -1.21% | -91.250
IXIC | 纳斯达克综合指数 | 26021.660 | -1.34% | -354.680
HSI | 恒生指数 | 23951.91 | -1.48% | -360.25
